P1,螺母,红,12
P2,螺栓,绿,17
P3,螺丝刀,蓝,14
P4,螺丝刀,红,14
P5,凸轮,蓝,40
P6,齿轮,红,30
P7,擒奸讨暴,红,26
P8,娱放,橙,48
P9,耍俏,黄,46
P10,佛汗,绿,678
P11,睿聪,蓝,98
P12,闹蛾,靛,132
P13,难解,紫,8
P14,谷口耕,红,567
P15,Q组,绿,68
P16,议论纷纷,蓝,789
P17,陈启,红,81
P18,一语中人,蓝,78
P19,覆鹿寻蕉,红,15
P20,旦,红,15
P21,省识,橙,88
P22,遣将调兵,黄,956
P23,水盏,绿,415
P24,众擎易举,蓝,54
P25,下气,靛,95
P26,山官,紫,78
P27,桐雷,红,45
P28,滋闹,橙,55
P29,圣旨,黄,85
P30,贰纪,绿,74
P31,感怀,绿,89
P32,黄金世界,蓝,82
P33,真土,红,84
P34,匡时,蓝,88
P35,起蛰,红,12
P36,赕钱,红,22
P37,染蓝涅皂,橙,20
P38,疚惭,蓝,73
P39,弄播,红,56
P40,]武,红,66
P41,潜光隐德,橙,86
P42,g悖,黄,94
P43,好久,绿,46
P44,小老母,蓝,76
P45,颠颓,靛,98
P46,镑余,紫,62
P47,忘啜废枕,红,53
P48,讲拜,橙,38
P49,戏r,红,9
P50,撞捣,绿,26
P51,天理教,蓝,7
P52,清浑皂白,红,5
P53,卒风暴雨,蓝,100
P54,申状,红,65
P55,懈慢,红,99
P56,密付,橙,50